id,Öbek İsmi
0,obek_4
1,obek_4
2,obek_8
3,obek_7
4,obek_6
5,obek_8
6,obek_6
7,obek_2
8,obek_5
9,obek_2
10,obek_7
11,obek_5
12,obek_2
13,obek_1
14,obek_1
15,obek_2
16,obek_5
17,obek_2
18,obek_1
19,obek_5
20,obek_2
21,obek_6
22,obek_5
23,obek_5
24,obek_1
25,obek_7
26,obek_2
27,obek_7
28,obek_2
29,obek_6
30,obek_8
31,obek_4
32,obek_2
33,obek_3
34,obek_6
35,obek_4
36,obek_5
37,obek_6
38,obek_5
39,obek_7
40,obek_8
41,obek_8
42,obek_2
43,obek_6
44,obek_3
45,obek_1
46,obek_7
47,obek_5
48,obek_4
49,obek_1
50,obek_7
51,obek_1
52,obek_4
53,obek_8
54,obek_8
55,obek_6
56,obek_6
57,obek_3
58,obek_5
59,obek_5
60,obek_5
61,obek_5
62,obek_7
63,obek_3
64,obek_1
65,obek_4
66,obek_1
67,obek_7
68,obek_4
69,obek_5
70,obek_1
71,obek_7
72,obek_3
73,obek_8
74,obek_6
75,obek_3
76,obek_1
77,obek_8
78,obek_8
79,obek_2
80,obek_4
81,obek_4
82,obek_1
83,obek_3
84,obek_6
85,obek_4
86,obek_3
87,obek_3
88,obek_5
89,obek_7
90,obek_1
91,obek_8
92,obek_5
93,obek_3
94,obek_4
95,obek_3
96,obek_3
97,obek_3
98,obek_3
99,obek_1
100,obek_7
101,obek_5
102,obek_6
103,obek_7
104,obek_7
105,obek_6
106,obek_4
107,obek_4
108,obek_4
109,obek_7
110,obek_1
111,obek_2
112,obek_7
113,obek_5
114,obek_2
115,obek_1
116,obek_5
117,obek_3
118,obek_8
119,obek_5
120,obek_7
121,obek_5
122,obek_6
123,obek_5
124,obek_4
125,obek_6
126,obek_1
127,obek_1
128,obek_5
129,obek_8
130,obek_1
131,obek_2
132,obek_5
133,obek_8
134,obek_5
135,obek_8
136,obek_5
137,obek_5
138,obek_5
139,obek_5
140,obek_3
141,obek_7
142,obek_8
143,obek_2
144,obek_4
145,obek_3
146,obek_1
147,obek_5
148,obek_1
149,obek_1
150,obek_5
151,obek_2
152,obek_5
153,obek_1
154,obek_2
155,obek_1
156,obek_5
157,obek_5
158,obek_6
159,obek_1
160,obek_2
161,obek_8
162,obek_7
163,obek_3
164,obek_8
165,obek_1
166,obek_8
167,obek_7
168,obek_7
169,obek_5
170,obek_2
171,obek_7
172,obek_1
173,obek_1
174,obek_6
175,obek_3
176,obek_3
177,obek_6
178,obek_6
179,obek_2
180,obek_4
181,obek_5
182,obek_4
183,obek_2
184,obek_4
185,obek_7
186,obek_1
187,obek_7
188,obek_7
189,obek_2
190,obek_3
191,obek_5
192,obek_2
193,obek_8
194,obek_5
195,obek_5
196,obek_6
197,obek_7
198,obek_4
199,obek_5
200,obek_1
201,obek_3
202,obek_4
203,obek_5
204,obek_5
205,obek_6
206,obek_6
207,obek_5
208,obek_1
209,obek_1
210,obek_8
211,obek_3
212,obek_8
213,obek_8
214,obek_3
215,obek_4
216,obek_5
217,obek_4
218,obek_7
219,obek_8
220,obek_2
221,obek_3
222,obek_1
223,obek_2
224,obek_3
225,obek_3
226,obek_7
227,obek_7
228,obek_8
229,obek_8
230,obek_1
231,obek_4
232,obek_4
233,obek_4
234,obek_3
235,obek_8
236,obek_5
237,obek_4
238,obek_3
239,obek_4
240,obek_1
241,obek_1
242,obek_4
243,obek_5
244,obek_4
245,obek_3
246,obek_6
247,obek_1
248,obek_6
249,obek_2
250,obek_7
251,obek_1
252,obek_7
253,obek_6
254,obek_3
255,obek_3
256,obek_8
257,obek_7
258,obek_5
259,obek_6
260,obek_1
261,obek_6
262,obek_8
263,obek_2
264,obek_8
265,obek_6
266,obek_6
267,obek_8
268,obek_7
269,obek_2
270,obek_5
271,obek_6
272,obek_4
273,obek_5
274,obek_1
275,obek_8
276,obek_4
277,obek_6
278,obek_7
279,obek_3
280,obek_5
281,obek_4
282,obek_2
283,obek_6
284,obek_4
285,obek_8
286,obek_6
287,obek_2
288,obek_2
289,obek_6
290,obek_3
291,obek_3
292,obek_2
293,obek_3
294,obek_4
295,obek_2
296,obek_4
297,obek_4
298,obek_1
299,obek_3
300,obek_6
301,obek_6
302,obek_1
303,obek_8
304,obek_4
305,obek_7
306,obek_7
307,obek_4
308,obek_2
309,obek_2
310,obek_4
311,obek_6
312,obek_3
313,obek_4
314,obek_4
315,obek_7
316,obek_1
317,obek_2
318,obek_5
319,obek_6
320,obek_3
321,obek_3
322,obek_5
323,obek_2
324,obek_4
325,obek_6
326,obek_3
327,obek_1
328,obek_6
329,obek_4
330,obek_1
331,obek_2
332,obek_6
333,obek_8
334,obek_4
335,obek_4
336,obek_3
337,obek_5
338,obek_8
339,obek_7
340,obek_7
341,obek_7
342,obek_6
343,obek_7
344,obek_5
345,obek_8
346,obek_5
347,obek_3
348,obek_3
349,obek_1
350,obek_8
351,obek_1
352,obek_7
353,obek_8
354,obek_7
355,obek_2
356,obek_2
357,obek_6
358,obek_5
359,obek_2
360,obek_4
361,obek_2
362,obek_5
363,obek_4
364,obek_7
365,obek_3
366,obek_7
367,obek_3
368,obek_7
369,obek_3
370,obek_2
371,obek_3
372,obek_8
373,obek_1
374,obek_5
375,obek_8
376,obek_2
377,obek_6
378,obek_3
379,obek_5
380,obek_4
381,obek_2
382,obek_8
383,obek_5
384,obek_3
385,obek_2
386,obek_7
387,obek_5
388,obek_8
389,obek_4
390,obek_2
391,obek_3
392,obek_8
393,obek_7
394,obek_7
395,obek_1
396,obek_2
397,obek_5
398,obek_3
399,obek_3
400,obek_2
401,obek_1
402,obek_2
403,obek_4
404,obek_6
405,obek_6
406,obek_7
407,obek_8
408,obek_8
409,obek_4
410,obek_1
411,obek_2
412,obek_2
413,obek_2
414,obek_3
415,obek_7
416,obek_2
417,obek_3
418,obek_5
419,obek_4
420,obek_5
421,obek_1
422,obek_3
423,obek_3
424,obek_8
425,obek_6
