id,Öbek İsmi
0,obek_3
1,obek_3
2,obek_4
3,obek_6
4,obek_3
5,obek_3
6,obek_3
7,obek_4
8,obek_6
9,obek_4
10,obek_6
11,obek_6
12,obek_4
13,obek_4
14,obek_4
15,obek_4
16,obek_6
17,obek_4
18,obek_4
19,obek_6
20,obek_4
21,obek_3
22,obek_6
23,obek_6
24,obek_4
25,obek_6
26,obek_4
27,obek_6
28,obek_4
29,obek_4
30,obek_4
31,obek_3
32,obek_4
33,obek_3
34,obek_4
35,obek_3
36,obek_6
37,obek_3
38,obek_4
39,obek_6
40,obek_3
41,obek_3
42,obek_4
43,obek_3
44,obek_3
45,obek_4
46,obek_6
47,obek_4
48,obek_3
49,obek_4
50,obek_6
51,obek_4
52,obek_3
53,obek_4
54,obek_4
55,obek_4
56,obek_3
57,obek_3
58,obek_6
59,obek_6
60,obek_6
61,obek_6
62,obek_6
63,obek_3
64,obek_4
65,obek_4
66,obek_4
67,obek_6
68,obek_3
69,obek_6
70,obek_4
71,obek_6
72,obek_3
73,obek_3
74,obek_3
75,obek_3
76,obek_4
77,obek_3
78,obek_3
79,obek_4
80,obek_3
81,obek_4
82,obek_4
83,obek_3
84,obek_4
85,obek_4
86,obek_3
87,obek_3
88,obek_6
89,obek_6
90,obek_4
91,obek_4
92,obek_6
93,obek_3
94,obek_3
95,obek_3
96,obek_3
97,obek_3
98,obek_3
99,obek_4
100,obek_6
101,obek_6
102,obek_3
103,obek_6
104,obek_6
105,obek_3
106,obek_3
107,obek_3
108,obek_4
109,obek_6
110,obek_4
111,obek_4
112,obek_6
113,obek_6
114,obek_4
115,obek_4
116,obek_6
117,obek_3
118,obek_4
119,obek_6
120,obek_6
121,obek_4
122,obek_3
123,obek_6
124,obek_4
125,obek_3
126,obek_4
127,obek_4
128,obek_6
129,obek_3
130,obek_4
131,obek_4
132,obek_6
133,obek_3
134,obek_6
135,obek_3
136,obek_6
137,obek_6
138,obek_6
139,obek_6
140,obek_3
141,obek_6
142,obek_4
143,obek_4
144,obek_3
145,obek_3
146,obek_4
147,obek_6
148,obek_4
149,obek_4
150,obek_6
151,obek_4
152,obek_6
153,obek_4
154,obek_4
155,obek_4
156,obek_6
157,obek_6
158,obek_4
159,obek_4
160,obek_4
161,obek_4
162,obek_6
163,obek_3
164,obek_3
165,obek_4
166,obek_3
167,obek_6
168,obek_6
169,obek_6
170,obek_4
171,obek_6
172,obek_4
173,obek_4
174,obek_4
175,obek_3
176,obek_3
177,obek_3
178,obek_4
179,obek_4
180,obek_3
181,obek_6
182,obek_4
183,obek_4
184,obek_3
185,obek_6
186,obek_4
187,obek_6
188,obek_6
189,obek_4
190,obek_3
191,obek_6
192,obek_4
193,obek_3
194,obek_6
195,obek_6
196,obek_3
197,obek_6
198,obek_3
199,obek_4
200,obek_4
201,obek_3
202,obek_4
203,obek_6
204,obek_6
205,obek_4
206,obek_3
